ACT_FLOW_ITEM_DATA|新增用血申请单主表
COM_CLINIC_BOUND_DRUG_CONFIG|删除诊疗绑定药品信息
COM_CLINIC_DRUG_USAGE_DICT|根据物资系统 物资类别代码 查询项目科目类别字典
COM_CLINIC_EXEC_DEPT|新增诊疗项目绑定执行科室分发表
COM_CLINIC_GROUP_STAFF|新增科室对照病区分发
COM_CLINIC_ITEM_DOCTOR_CONFIG|获取未分发开单权限的医生
COM_CLINIC_PRICELIST_CHILD|新增诊疗与收费项目对照表
COM_CLINIC_PRICELIST_DICT|新增诊疗与收费项目对照表
COM_CLINIC_PRICELIST_UPDATE_LOG|新增诊疗与收费项目对照表
COM_COMM_DICT_MAP|通过病人id获取病人基本信息
COM_CUSTOM_CLASS_SUBSTITUTION|新增类置换表
COM_CUSTOM_TEMPLATE_ORDER_CONFIG|查询员工号是否存在于自定义模板配置表
COM_DATA_UPDATE_LOG_DETAIL|新增基本字典信息
COM_DATA_UPDATE_LOG_MASTER|新增药品信息变更用户提示记录表
COM_DEPT_CLINIC_MATERIAL_DICT|新增诊疗与收费项目对照表
COM_DEPT_CLINIC_TRIAGE_CONFIG|新增科室\诊室向分诊台字典
COM_DEPT_OPERATION_GRADE|批量删除手术人员分配记录 入参为List
COM_DEPT_STAFF_CONFIG|获取未分发开单权限的医生
COM_DEPT_USAGE_MATERIAL_DICT|新增科室用药方法与材料对照表
COM_DERATE_CONFIG|新增减免配置
COM_FRONT_DATA_ITEM_CHECK|新增前端数据项校验
COM_FUNCTION_PROFILES|新增功能配置策略
COM_FUNCTION_PROFILES_DETAIL|新增功能配置策略明细表
COM_GUARANTEE_PRIV_CONFIG|新增基本字典信息
COM_INP_CASE_NO_REUSE|新增住院病案号复用记录表
COM_INP_CASE_NO_USE_REC|新增住院病案号使用记录表
COM_INP_DRUG_PRINT_DETAIL|新增住院用药打印条件配置细表
COM_INP_DRUG_PRINT_MASTER|新增住院用药打印条件配置主表
COM_INSUR_ICD10_DICT|新增医保基本字典
COM_INSUR_INVOICE_DICT|新增医保发票字典实体
COM_INSUR_PRICE_ITEM_DICT|新增医保限制字典表
COM_INSUR_PRICE_ITEM_DICT_TEMP|新增医保价项字典
COM_INTERNET_DISPENSING_PRESON|获取患者处方
COM_ITEM_USE_TIMES|翻译字段
COM_ITEM_USE_TIMES_EXTEND|新增项目使用频次记录表
COM_JOB_REMEDY_EXEC_CONFIG|获取调度任务列表
COM_MEDICAL_COMFIRM_DRUG_RECORDS|删除诊疗绑定药品信息
COM_MENU_CONFIG|新建角色
COM_MENU_DEFAULT_DEPT_CONFIG|新增子系统菜单默认业务科室配置
COM_MENU_DEPT_CONFIG|新增子系统菜单默认业务科室配置
COM_MENU_TABLE|新建角色
COM_NURSING_STATS_IDCT_CFG|新增护理统计指标对应项目配置表
COM_PACKAGE_EXEC_LOG|按床位位置（楼层）过滤摆药池
COM_PAGE_AUTHORITY_CONTROL|查找细表是否存在
COM_PAGE_AUTHORITY_CONTROL_DETAIL|查找细表是否存在
COM_PAGE_DICT|新增页面
COM_PAGE_FUNCTION_CONFIG|获取界面快捷键
COM_PAGE_FUNCTION_DICT|获取界面快捷键
COM_PAGE_SHORTCUT_DICT|获取界面快捷键
COM_PAGE_SHORTCUT_USER_CONFIG|获取界面快捷键
COM_PART_BOUND_DRUG_CONFIG|删除部位绑定药品信息
COM_PLATFROM_CONTRAST|新增药品采购细表
COM_PROJECT_INFO|新增项目信息表
COM_PURCHASE_CATALOG|新增药品采购细表
COM_PURCHASE_ENTERPRISE|新增药品汇款单主表
COM_PUSH_INTERCEPTION_CONFIGURATION|获取医生的报错列表
COM_RATE_SPECIAL_CHARGE_DIST|自动作废过期药品（药品库存）
COM_REG_EXTRA_CHARGE_CONFIG|获取医生挂号类别
COM_REGISTER_CONFIG|新增挂号类别分发
COM_REGISTER_DERATE_CONFIG|新增挂号费减免配置表
COM_ROLE|获取用户已分配角色
